0	105.5	0	88	256
59.2	10.32	1	0	
38	7.48	1	0	
104.11	0.54	1	0	
50.03	0.67	1	0	
57.65	1.2	1	0	
53.57	11.84	1	0	
22.7	4.28	1	0	
49.85	6.32	1	0	
47.8	24.35	1	0	
60.66	33.25	1	0	
20.02	8.03	1	0	
26.74	3.91	1	0	
65.62	22.37	1	0	
99.62	2.76	1	0	
53	5.23	1	0	
53.27	30.4	1	0	
48.75	33.52	1	0	
62.47	52.21	1	0	
32.71	50.24	1	0	
97.11	55.49	1	0	
19.69	6.57	1	0	
58.15	12.69	1	0	
41.28	78.32	1	0	
73.89	76.27	1	0	
74.7	25.06	1	0	
98.93	52.03	1	0	
73.07	27.56	1	0	
16.23	77.96	1	0	
8.15	86.97	1	0	
75.68	72.32	1	0	
30.9	48.34	1	0	
84.53	72.43	1	0	
83.52	20.74	1	0	
42.7	48.27	1	0	
79.25	69.97	1	0	
46.62	7.39	1	0	
72.01	5.05	1	0	
80.39	14.26	1	0	
83.99	68.72	1	0	
12.33	84.56	1	0	
32.32	46.78	1	0	
69.61	7.18	1	0	
37.68	55.84	1	0	
79.81	18.83	1	0	
24.49	40.98	1	0	
66.78	10.93	1	0	
81.94	11.51	1	0	
80.64	71.35	1	0	
73.06	23.44	1	0	
101.96	48.36	1	0	
30.31	50.75	1	0	
95.91	48.36	1	0	
36.2	50.15	1	0	
43.48	55.11	1	0	
25.55	48	1	0	
66.63	76.21	1	0	
83.66	75.66	1	0	
34.85	52.54	1	0	
39.73	53.33	1	0	
55.9	49.75	1	0	
26.55	52.25	1	0	
77.04	18.54	1	0	
78.67	65.28	1	0	
75.73	22.72	1	0	
78.09	23.55	1	0	
53.58	47.29	1	0	
98.46	46.07	1	0	
87.3	66.84	1	0	
60.6	86.3	1	0	
78.22	12.58	1	0	
42.05	1.67	1	0	
43.63	40.17	1	0	
71.53	86.36	1	0	
23.8	41.42	1	0	
64.15	23.94	1	0	
79.72	78.43	1	0	
88.56	75	1	0	
76.84	28.74	1	0	
42.57	18.63	1	0	
52.49	19.56	1	0	
24.62	56.31	1	0	
62.16	54.86	1	0	
80.38	20.31	1	0	
30.89	59.55	1	0	
39.34	50.76	1	0	
75.71	19.89	1	0	
44.55	55.64	1	0	
70.17	87.09	1	0	
100.28	52.6	1	0	
99.03	17.96	1	0	
41.33	7.84	1	0	
35.86	58.48	1	0	
67.37	85.91	1	0	
23.11	79.9	1	0	
13.92	48.58	1	0	
82.86	78.94	1	0	
94.3	54.45	1	0	
71.7	14.15	1	0	
95.77	56.95	1	0	
25.31	62.04	1	0	
83.38	11.74	1	0	
33.37	59.57	0	1	
103.28	30.11	0	1	
103.22	51.43	0	1	
103.18	29.66	0	1	
101	27.48	0	1	
99.26	17.99	0	1	
97.61	54.53	0	1	
97.53	54.99	0	1	
96.52	53.91	0	1	
